businessName,DBAName,Address,CITY,STATE,ZIP,LICSTATUS,LICENSECAT,DESCRIPT,licenseadddttm,dayphn,Property_ID,Location
Berkshire Farms Market,,200 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/8/13 9:59,10000000000,341353,"(0.000000000, 0.000000000)"
Billares Colombia,,16 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,3/1/13 12:53,16175695740,14624,"(42.375290000, -71.038300000)"
Bohemios Restaurant,,30 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/11/15 13:52,16175617777,156396,"(42.375390000, -71.038018000)"
Bonfire By Todd English,,200 LOGAN AIRPORT TRMNL B,EAST BOSTON,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/6/07 10:19,12406944746,,"(0.000000000, 0.000000000)"
Boston Beer Works (Pier B),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,7/2/07 10:18,14157307532,,"(0.000000000, 0.000000000)"
Boston Beer Works (Pier C),,300 LOGAN AIRPORT TRMNL C,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,2/25/08 9:47,14157307532,,"(0.000000000, 0.000000000)"
British Airways Lounge,,500 Terminal,East Boston,MA,2128,Active,FS,Eating & Drinking,1/30/17 10:05,19149355310,341351,"(0.000000000, 0.000000000)"
Burger King,,1 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/23/10 13:11,16172473763,156456,"(42.371650000, -71.042779000)"
Burger King,,500 Terminal,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,1/17/12 11:11,10000000000,341351,"(0.000000000, 0.000000000)"
Burger King,,944 Bennington,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,10005698755,155885,"(42.386166000, -71.009530000)"
Burger King # 16370,,300 Terminal,East Boston/,MA,2128,Active,FT,Eating & Drinking w/ Take Out,9/1/10 7:57,10000000000,341352,"(0.000000000, 0.000000000)"
CABANA GRILL,,254 Bennington,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175610833,14691,"(42.378610000, -71.029360000)"
Cactus Grill,,42 Maverick,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,8/7/07 12:52,17812670283,92887,"(42.370140000, -71.039160000)"
Cafe GiGu,,102 Meridian,EAST BOSTON,MA,2128,Active,FS,Eating & Drinking,9/29/09 9:53,10000000000,,"(0.000000000, 0.000000000)"
CAFE NAPOLI,,81 Chelsea,East Boston,MA,2128,Active,FS,Eating & Drinking,12/7/06 13:35,16175673018,30623,"(42.371833000, -71.036223000)"
Cafe Presto,,1 Hotel,East Boston,MA,2128,Active,FT,Eating & Drinking w/ Take Out,11/14/16 13:16,16175686700,,"(0.000000000, 0.000000000)"
Cafeteria Y Pizzeria Mi Colombia,,50 Maverick,East Boston,MA,2128,Active,FS,Eating & Drinking,11/6/17 9:37,16175671227,92897,"(42.370170000, -71.038680000)"
